id,userName,score,content,reviewDate,thumbsUpCount,sentiment
296,Md junayed,5,love,2025-06-13 14:59:03,0,Positive
297,Deepak Sangroha,1,"please add always show search Feature on top,like as iphone",2025-06-13 14:58:45,0,Neutral
298,Velerentasha Rostutie,5,"Great, make daily life easy to communicate with someone that far from us",2025-06-13 14:58:44,0,Positive
299,Saputra Putra,4,mantap,2025-06-13 14:58:40,0,Neutral
300,abubakkar Siddiq,5,good app nice,2025-06-13 14:57:22,0,Positive
301,Muhammad Hanif Khichi,5,"Good experience 👌 Because it's a Simple, Reliable and Private..... it's a best for everyone else.....🫶",2025-06-13 14:56:59,2,Positive
302,Itz Alhaji Mustapha Tekish Kamara,3,Outstanding,2025-06-13 14:56:21,0,Positive
303,Muhammad Dato,5,I need official WhatsApp,2025-06-13 14:55:57,1,Neutral
304,Abrea Khan,5,very good app,2025-06-13 14:55:55,1,Positive
305,anuj Pushpad,4,acha hai m,2025-06-13 14:55:00,1,Neutral
306,Nitin Nagar,5,nice,2025-06-13 14:54:48,1,Positive
307,Yetunde Akintoye,5,WhatsApp have make I easy for me and my family to be able to communicate you guys should download it for communication purpose,2025-06-13 14:54:34,0,Positive
308,Vijay Patel,5,1 yar,2025-06-13 14:54:17,0,Neutral
309,Bipasha paul,5,if I send any links from YouTube or from other websites the links are going in the WhatsApp but the pictures or the upper view of the video with the links are not coming please do something about it....,2025-06-13 14:54:10,251,Neutral
310,Junior Joshua,5,better,2025-06-13 14:53:08,0,Positive
311,Mohana Durga,5,This app is very helpful for business and personal purpose.Mostly this app is helpful for students because today all educational related information can send in the WhatsApp group.I love it,2025-06-13 14:52:32,0,Positive
312,Imran,1,"I am unable to listen to Voice message lately. to be able to listen to it, I have to restart my phone",2025-06-13 14:52:14,0,Neutral
313,Junaid Malik,1,at my mobile it's not install I install again and again but not install my mobile is vivo v20 whts the problem with this app on my mobile plz chk it,2025-06-13 14:51:20,0,Neutral
314,Kunal soni Kunal soni,5,very 👍👍👍,2025-06-13 14:50:46,0,Positive
315,Nihal patil,5,very good,2025-06-13 14:50:10,0,Positive
316,Naveen Badiger,5,Hi whats App team. Thanks for this best communication platform. I request you to please give an option to reach extreme top or to the beginning message in one touch as you have developed extreme bottom in one touch. Thank you.,2025-06-13 14:48:19,2,Positive
317,Dipumoni Dutta,5,best app form the world,2025-06-13 14:47:06,0,Positive
318,Shahid Yousufzai,5,good wark,2025-06-13 14:46:29,0,Positive
319,Samiran Deb,5,very bad 😞 sarvice,2025-06-13 14:45:52,0,Negative
320,ajay dushing,1,again my whatsapp is under review. whats wrong.,2025-06-13 14:45:11,0,Negative
321,Barnaba,1,Why my WhatsApp fail to connect,2025-06-13 14:45:05,0,Negative
322,Zoey H,5,wow,2025-06-13 14:44:53,0,Neutral
323,Priscilla Kiwola,3,Good,2025-06-13 14:44:31,0,Positive
324,Lydia Adedeji,4,Amazing,2025-06-13 14:44:28,0,Positive
325,Cynthia Ekeh,3,"I really don't know why with this new update, the archive is no longer working. please fix it. it's frustrating that I have to archive some chat and when they send messages I will still see it. it wasn't like this. until I was asked to update.",2025-06-13 14:43:56,8,Neutral
326,Odebode John,5,best,2025-06-13 14:43:30,0,Positive
327,Vasant Bhanu,1,If you don't have the song option in WhatsApp then don't download any,2025-06-13 14:43:22,0,Neutral
328,Kishore Bhukya,5,nice,2025-06-13 14:43:18,0,Positive
329,Juma Misungu,5,gody,2025-06-13 14:42:50,0,Neutral
330,Ajay Thakur,5,ok,2025-06-13 14:41:05,0,Positive
331,Akintomide Fikesola,5,it makes it more easy to chat,2025-06-13 14:40:50,0,Positive
332,Muhammad Zohaib,5,please add live location time customize option add,2025-06-13 14:40:26,6,Positive
333,Blessings Bengo,5,Is good for communication,2025-06-13 14:40:25,0,Positive
334,Taiwo Elijah,5,👍,2025-06-13 14:39:26,0,Neutral
335,Maher Khan,5,thans,2025-06-13 14:39:23,1,Neutral
336,MUHAMMAD ALI,1,some time not working .,2025-06-13 14:38:15,0,Neutral
337,Chandrakanta Barik,5,very bad app,2025-06-13 14:38:13,0,Negative
338,Fatin Munirah,5,very useful,2025-06-13 14:37:46,0,Positive
339,MD HABIBUL BASHAR RABBI,5,nice,2025-06-13 14:37:20,0,Positive
340,Durga,5,ils is good 👍👍,2025-06-13 14:37:19,0,Positive
341,omid Hamidi,5,ستمګراشنا,2025-06-13 14:37:01,0,Neutral
342,A Google user,5,Muy buena la aplicacion de chat whatsapp.,2025-06-13 14:36:53,1,Neutral
343,Mk Group,5,good,2025-06-13 14:36:23,0,Positive
344,Simon,5,easy communication and easy to use,2025-06-13 14:35:53,0,Positive
345,Foysal Ahmed,5,Wow,2025-06-13 14:35:33,0,Neutral
346,Martin's Daniella,5,This ia the best app I have seen for sending messages,2025-06-13 14:35:09,1,Positive
347,Dr Sharifa Abdul Aziz,5,"quicker,easier,updated",2025-06-13 14:33:56,0,Neutral
348,Mohsim Ansari,3,bhai,2025-06-13 14:33:49,0,Neutral
349,Srikanth Sri,5,nice,2025-06-13 14:33:43,0,Positive
350,Deivani.P,5,good,2025-06-13 14:33:06,0,Positive
351,Ranjeet kumar,3,good,2025-06-13 14:32:03,0,Positive
352,Aik Nom Han,5,😍,2025-06-13 14:31:49,0,Neutral
353,Vibhu Tripathi,5,it is so good,2025-06-13 14:31:38,0,Positive
354,A Google user,5,"""Reliable and Easy to Use"" WhatsApp is one of the most reliable messaging apps I've used. It’s simple, fast, and works well even on slow connections. I love the voice and video call quality, and the ability to send photos, videos, and documents quickly. Group chats and broadcast lists make communication super efficient. The best part is the end-to-end encryption",2025-06-13 14:31:35,0,Positive
355,JCRjayachandra3456,5,super,2025-06-13 14:31:20,0,Positive
356,Syed Mujahed,1,recently update app is stuck unable to open directly it's giving a problem kindly solve the issue as soon as possible,2025-06-13 14:30:57,0,Neutral
357,Uzair Khan,5,Good,2025-06-13 14:30:14,0,Positive
358,Soha Khanum,5,love it,2025-06-13 14:30:10,0,Positive
359,stubborn Kind,5,It has been nice,2025-06-13 14:28:50,0,Positive
360,Md Ishtiyaque Alam,5,"WhatsApp is incredibly convenient and essential for daily communication, thanks to its widespread user base and end-to-end encryption. The recent additions like message editing and HD media sharing are great. However, ongoing privacy concerns with Meta ownership are a major drawback, and I wish for more advanced features common in other messaging apps.",2025-06-13 14:28:11,0,Positive
361,Afsana Saifi,5,good,2025-06-13 14:27:47,0,Positive
362,Devraj Paul,5,gooooooooood,2025-06-13 14:27:44,0,Neutral
363,Mohan Singh,5,best,2025-06-13 14:27:44,0,Positive
364,NURUDEEN ADEDEJI,5,nice job,2025-06-13 14:26:47,0,Positive
365,Hannah Sherin,5,nice app total recommended,2025-06-13 14:26:27,0,Positive
